,Parameters,Area,Number of provinces,Variable
1,"(0, 0, 1)","Bali (Indonesia), Bangka Belitung (Indonesia), Banten (Indonesia), Bengkulu (Indonesia), Jakarta Raya (Indonesia), Jambi (Indonesia), Jawa Barat (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kalimantan Barat (Indonesia), Kalimantan Tengah (Indonesia), Kalimantan Timur (Indonesia), Lampung (Indonesia), Maluku (Indonesia), Maluku Utara (Indonesia), Nusa Tenggara Barat (Indonesia), Nusa Tenggara Timur (Indonesia), Papua Barat (Indonesia), Sumatera Barat (Indonesia), Sumatera Utara (Indonesia), Yogyakarta (Indonesia), Johor (Malaysia), Kedah (Malaysia), Kelantan (Malaysia), Kuala Lumpur (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Pahang (Malaysia), Penang (Malaysia), Perak (Malaysia), Perlis (Malaysia), Putrajaya (Malaysia), Sabah (Malaysia), Sarawak (Malaysia), Selangor (Malaysia), Terengganu (Malaysia), ARMM (Philippines), Cagayan Valley (Philippines), Calabarzon (Philippines), Central Luzon (Philippines), Davao Region (Philippines), IIocos Region (Philippines), Mimaropa (Philippines), Soccsksargen (Philippines), Zamboanga Peninsula (Philippines), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Buri Ram (Thailand), Lampang (Thailand), Nakhon Sawan (Thailand), Narathiwat (Thailand), Nong Bua Lam Phu (Thailand), Nong Khai (Thailand), Pathum Thani (Thailand), Pattani (Thailand), Phangnga (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Phuket (Thailand), Prachin Buri (Thailand), Prachuap Khiri Khan (Thailand), Ranong (Thailand), Ratchaburi (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Samut Songkhram (Thailand), Saraburi (Thailand), Sing Buri (Thailand), Surat Thani (Thailand), Surin (Thailand), Tak (Thailand), Uthai Thani (Thailand), Uttaradit (Thailand), Yala (Thailand), Yasothon (Thailand)",75,Cars
2,"(1, 0, 0)","Papua (Indonesia), Bicol Region (Philippines), Eastern Visayas (Philippines), Singapore (Singapore), Amnat Charoen (Thailand), Mae Hong Son (Thailand), Maha Sarakham (Thailand), Mukdahan (Thailand), Sa Kaeo (Thailand), Sakon Nakhon (Thailand)",10,Cars
3,"(1, 0, 1)",Nonthaburi (Thailand),1,Cars
4,"(2, 0, 1)",Cordilera Administrative Region (Philippines),1,Cars
0,"(0, 0, 0)","Gorontalo (Indonesia), Jambi (Indonesia), Kalimantan Tengah (Indonesia), Maluku (Indonesia), Nusa Tenggara Timur (Indonesia), Sulawesi Barat (Indonesia), Sulawesi Tengah (Indonesia), Sumatera Selatan (Indonesia), Johor (Malaysia), Kedah (Malaysia), Kelantan (Malaysia), Kuala Lumpur (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Pahang (Malaysia), Penang (Malaysia), Perak (Malaysia), Perlis (Malaysia), Putrajaya (Malaysia), Sabah (Malaysia), Sarawak (Malaysia), Selangor (Malaysia), Terengganu (Malaysia), ARMM (Philippines), Bicol Region (Philippines), Cagayan Valley (Philippines), Calabarzon (Philippines), Caraga (Philippines), Central Luzon (Philippines), Central Visayas (Philippines), Cordilera Administrative Region (Philippines), Davao Region (Philippines), Eastern Visayas (Philippines), IIocos Region (Philippines), Mimaropa (Philippines), North Mindanao (Philippines), Soccsksargen (Philippines), Western Visayas (Philippines), Zamboanga Peninsula (Philippines), Chachoengsao (Thailand), Chai Nat (Thailand), Chaiyaphum (Thailand), Chanthaburi (Thailand), Chumphon (Thailand), Kalasin (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Khon Kaen (Thailand), Lampang (Thailand), Lamphun (Thailand), Loei (Thailand), Lop Buri (Thailand), Mae Hong Son (Thailand), Maha Sarakham (Thailand), Mukdahan (Thailand), Nakhon Nayok (Thailand), Nakhon Si Thammarat (Thailand), Nan (Thailand), Pattani (Thailand), Phayao (Thailand), Phetchabun (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Phrae (Thailand), Ranong (Thailand), Ratchaburi (Thailand), Rayong (Thailand), Roi Et (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Samut Songkhram (Thailand), Saraburi (Thailand), Sing Buri (Thailand), Tak (Thailand), Trang (Thailand), Trat (Thailand), Ubon Ratchathani (Thailand), Udon Thani (Thailand), Uthai Thani (Thailand), Uttaradit (Thailand), Yala (Thailand), Yasothon (Thailand)",82,Buses
1,"(0, 0, 1)","Aceh (Indonesia), Bangka Belitung (Indonesia), Banten (Indonesia), Bengkulu (Indonesia), Jakarta Raya (Indonesia), Jawa Barat (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kalimantan Barat (Indonesia), Kalimantan Selatan (Indonesia), Kalimantan Timur (Indonesia), Kepulauan Riau (Indonesia), Lampung (Indonesia), Maluku Utara (Indonesia), Nusa Tenggara Barat (Indonesia), Papua (Indonesia), Papua Barat (Indonesia), Riau (Indonesia), Sulawesi Selatan (Indonesia), Sumatera Barat (Indonesia), Sumatera Utara (Indonesia), Yogyakarta (Indonesia), Chiang Mai (Thailand), Chon Buri (Thailand), Nakhon Sawan (Thailand), Narathiwat (Thailand), Nong Bua Lam Phu (Thailand), Nong Khai (Thailand), Phangnga (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Prachuap Khiri Khan (Thailand)",31,Buses
2,"(1, 0, 0)","National Capital Region (Philippines), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Buri Ram (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Nakhon Ratchasima (Thailand), Nonthaburi (Thailand), Phatthalung (Thailand), Phitsanulok (Thailand), Sa Kaeo (Thailand), Sakon Nakhon (Thailand), Songkhla (Thailand), Sukhothai (Thailand), Suphan Buri (Thailand)",16,Buses
3,"(1, 0, 1)","Bali (Indonesia), Sulawesi Utara (Indonesia), Singapore (Singapore), Amnat Charoen (Thailand)",4,Buses
4,"(2, 0, 0)","Chiang Rai (Thailand), Phuket (Thailand), Surat Thani (Thailand), Surin (Thailand)",4,Buses
5,"(2, 0, 1)","Sulawesi Tenggara (Indonesia), Krabi (Thailand), Pathum Thani (Thailand), Prachin Buri (Thailand), Satun (Thailand), Si Sa Ket (Thailand)",6,Buses
