Id,year,PM25 microgram per cubic metter,Province,Country name,LC_urban_areas,Average_wind_speed,Pop density heads per Sqkm,Average_precipitation,Maximum_temperature,Cars,Buses,Trucks,Motorcycles,Green_area
0,2012.0,17.752835531,Aceh,Indonesia,169714391.265,1.8340029985,67.5971643415,130.984932534,27.8384107946,113393.32103435145,334.30534870649427,50113.68766755823,1208953.1190476194,56188629816.17355
0,2013.0,19.515318775,Aceh,Indonesia,194392600.881,1.72818215892,68.1103172752,395.790067466,28.0439842579,119454.46373380626,423.476328117603,52148.132195433274,1307868.523809524,56166019612.956856
0,2014.0,21.758441752,Aceh,Indonesia,218105740.846,2.22692278861,68.6450514884,251.647188906,27.2898575712,125515.60643326108,512.6473075287116,54182.576723308324,1406783.9285714289,56168225486.522354
0,2015.0,21.6533542107,Aceh,Indonesia,227342836.066,1.89502623688,69.1592991436,128.674662669,27.8419377811,130667.0,640.0,55531.0,1490853.0,56159539859.61996
0,2016.0,20.1995807146,Aceh,Indonesia,228790440.54,1.89212143928,69.7051274581,328.65982009,28.4744377811,137559.0,691.0,58165.0,1604137.0,56156506783.61455
0,2017.0,17.6093559549,Aceh,Indonesia,229066174.726,2.03836581709,70.2469448334,355.85862069,27.5065967016,143455.0,735.0,60549.0,1703629.0,56156231049.353714
0,2018.0,18.2554873544,Aceh,Indonesia,229066174.726,1.55097451274,70.8177555483,366.824925037,27.7201274363,150947.0,838.0,62980.0,1819468.0,56156231049.37053
0,2019.0,19.5263648098,Aceh,Indonesia,229066174.726,1.99006746627,71.4167523672,211.65505997,28.5763493253,158406.0,1034.0,65359.0,1933053.0,56156231049.36424
0,2020.0,16.9891765664,Aceh,Indonesia,237613934.481,2.04557721139,72.0134626841,119.593815592,28.881934033,160334.0,1048.0,65785.0,1978138.0,56147683289.682335
0,2021.0,16.951463152,Aceh,Indonesia,251400643.7634722,1.96383058471,72.56890575707487,273.900224888,28.0856821589,166601.0,1129.0,67996.0,2086599.0,56143328987.29705
0,2022.0,17.570410632,Aceh,Indonesia,258055028.7771222,1.94583958021,73.10820326682024,201.76994003,28.3928035982,174357.0,1192.0,70339.0,2199349.0,56139654829.27517
1,2012.0,12.6826747724,Bali,Indonesia,153721808.498,2.42782771536,602.341925554,500.094756554,28.5956928839,335711.3209320056,7594.661812156385,121408.33056583606,2699205.999873417,5363581379.192451
1,2013.0,12.7478072102,Bali,Indonesia,167715318.42,3.01970037453,616.164426295,636.151310861,28.8644194757,350513.7057564005,7791.6117323085555,125183.57994994489,2831314.999759964,5349656802.820886
1,2014.0,14.131828058,Bali,Indonesia,182949632.176,3.31292134831,630.718941605,125.113108614,28.2285018727,365316.0905807953,7988.561652460725,128958.82933405372,2963423.999646511,5337731299.291291
1,2015.0,12.3148719118,Bali,Indonesia,188740050.075,2.34629213483,645.561912647,356.8,28.4137827715,369985.0,8089.0,130957.0,3034179.0,5332009814.939092
1,2016.0,11.45753366,Bali,Indonesia,188877917.168,1.33812734082,660.581716824,234.562172285,28.4011235955,392269.0,8440.0,136197.0,3204097.0,5331871947.848692
1,2017.0,10.592726886,Bali,Indonesia,189153651.354,2.04902621723,676.296525176,395.258426966,28.9775280899,413746.0,8777.0,140876.0,3352428.0,5331596213.66059
1,2018.0,11.8114416028,Bali,Indonesia,189153651.354,2.48876404494,692.527161439,396.434082397,28.7760299625,435965.0,9163.0,145927.0,3540179.0,5330975811.740602
1,2019.0,13.664676517,Bali,Indonesia,189360451.993,2.16966292135,709.458440931,566.870786517,29.0426966292,455993.0,9345.0,150787.0,3742000.0,5330769011.108602
1,2020.0,11.0782240668,Bali,Indonesia,204525832.203,2.21535580524,726.78477904,174.390636704,29.6217228464,459369.0,9390.0,151884.0,3798850.0,5315603630.89908
1,2021.0,12.2470039125,Bali,Indonesia,207214240.51349998,2.27003745318,742.9893333104468,433.822846442,28.4850187266,466300.0,9405.0,154802.0,3862637.0,5314102411.442623
1,2022.0,11.724185847,Bali,Indonesia,211897126.09973332,2.27940074906,758.2121286913437,266.306741573,28.8288389513,474878.0,9417.0,157894.0,3928946.0,5309727429.031119
2,2012.0,15.4313332806,Bangka Belitung,Indonesia,15647915.0354,2.41838422392,65.4077664329,345.619465649,29.9428117048,50833.66388114685,933.3990812806235,35607.973441837945,624891.0873261256,16513444644.17351
2,2013.0,14.7629316122,Bangka Belitung,Indonesia,21024731.6555,2.64727735369,67.4468369179,211.420356234,29.7786641221,54344.60569272936,962.1991767285979,36726.589966833424,664248.1927788188,16508067827.567507
2,2014.0,17.9185305034,Bangka Belitung,Indonesia,27366617.9254,3.4018956743,69.5448366934,217.437277354,28.3574554707,57855.547504311864,990.9992721765724,37845.206491828896,703605.2982315121,16523853609.69777
2,2015.0,30.0761981669,Bangka Belitung,Indonesia,29503557.8642,2.80081424936,71.7577890007,208.302798982,29.3161323155,60347.0,995.0,39062.0,738989.0,16521716669.75496
2,2016.0,12.6574026356,Bangka Belitung,Indonesia,30606494.6068,0.686246819338,73.9806193189,320.938931298,29.813740458,64284.0,1045.0,39837.0,770361.0,16520613732.99977
2,2017.0,12.5274976061,Bangka Belitung,Indonesia,30606494.6068,1.31031806616,76.259833093,352.340330789,30.1874045802,68424.0,1090.0,40967.0,823873.0,16520613733.00247
2,2018.0,13.4904660293,Bangka Belitung,Indonesia,30951162.3388,2.39694656489,78.7058797174,145.061577608,29.4984732824,73935.0,1145.0,42657.0,880343.0,16520269065.287268
2,2019.0,14.7097253925,Bangka Belitung,Indonesia,31226896.5245,1.83435114504,81.1783380512,339.506361323,30.015648855,77559.0,1169.0,43946.0,917129.0,16519993331.096668
2,2020.0,10.4599573013,Bangka Belitung,Indonesia,33088102.2776,2.01221374046,83.7089621216,238.573918575,30.4019083969,78504.0,1173.0,44189.0,924322.0,16518132125.34517
2,2021.0,12.2395788954,Bangka Belitung,Indonesia,35485085.54427075,2.55254452926,86.13224687777767,375.317175573,29.6884223919,81599.0,1186.0,45495.0,971047.0,16522377282.911171
2,2022.0,12.9914672801,Bangka Belitung,Indonesia,37704379.63771568,2.01221374046,88.37070829644115,191.543638677,29.9807888041,85430.0,1196.0,46879.0,1019620.0,16523148189.739513
3,2012.0,16.2683054387,Banten,Indonesia,2031058011.47,3.53278911565,1030.48708544,362.174376417,29.6909750567,112019.30568591527,2365.6668415379622,41546.22200105387,1108242.70233283,7133036582.043421
3,2013.0,14.0401150566,Banten,Indonesia,2038020299.66,2.77267573696,1059.6235697,326.337414966,29.6721768707,127392.47992807635,2500.8973357074924,46143.336231824374,1250613.940385833,7126694695.765921
3,2014.0,18.9562892277,Banten,Indonesia,2047257394.88,2.6014739229,1089.81971106,464.712471655,28.212154195,142765.65417023745,2636.127829877022,50740.45046259488,1392985.1784388355,7121938281.070021
3,2015.0,20.3522750914,Banten,Indonesia,2053875015.33,2.39850340136,1121.08947159,383.445124717,29.457755102,154808.0,2663.0,55401.0,1515309.0,7115458527.70272
3,2016.0,17.6812630741,Banten,Indonesia,2055529420.45,0.881655328798,1153.12355115,231.271201814,28.8990929705,171565.0,2883.0,59260.0,1663873.0,7113804122.587821
3,2017.0,13.947855644,Banten,Indonesia,2058493562.94,2.98768707483,1186.41959384,416.751020408,30.0673469388,189542.0,3098.0,64188.0,1815775.0,7110839980.090119
3,2018.0,18.7966919457,Banten,Indonesia,2058769297.13,3.77346938776,1220.66930742,172.00521542,29.5900226757,209212.0,3254.0,70098.0,1991810.0,7110564245.91012
3,2019.0,21.1195606736,Banten,Indonesia,2060423702.24,1.69727891156,1256.33622521,268.632653061,30.1850340136,227547.0,3466.0,75374.0,2161809.0,7108909840.790899
3,2020.0,18.1235094069,Banten,Indonesia,2091995266.5,1.46893424036,1293.51518133,431.103628118,30.3020408163,232939.0,3519.0,76905.0,2234539.0,7077338276.533259
3,2021.0,17.2998430938,Banten,Indonesia,2083263683.9530547,1.98639455782,1328.3233759208988,349.457142857,29.687755102,247020.0,3573.0,82260.0,2371748.0,7087883194.313412
3,2022.0,16.0105648463,Banten,Indonesia,2088907043.6192212,1.84376417234,1360.5102378484808,188.513151927,30.1442176871,264447.0,3615.0,87934.0,2514383.0,7082824620.898443
4,2012.0,14.8380143747,Bengkulu,Indonesia,37224115.0623,3.03026939655,74.0818089975,418.354310345,28.8842133621,74795.48431015754,656.1666197593144,33888.70951084366,596203.2985763727,19738638480.123543
4,2013.0,13.4598227569,Bengkulu,Indonesia,45909741.9101,2.5444612069,74.7579533135,256.48825431,28.2870689655,78543.9791766101,676.8332885186417,35640.902521976815,633375.4126599735,19729952853.34104
4,2014.0,19.579499251,Bengkulu,Indonesia,49494286.3236,1.94590517241,75.4623755844,309.197737069,27.4081357759,82292.47404306264,697.4999572779689,37393.09553310997,670547.5267435743,19725816840.550743
4,2015.0,22.6267538303,Bengkulu,Indonesia,50804023.7054,2.05892241379,76.2139856658,249.957650862,28.4181896552,84218.0,705.0,38686.0,701264.0,19724507103.174343
4,2016.0,12.8236427859,Bengkulu,Indonesia,50804023.7054,1.32086206897,76.9173191393,366.89299569,28.7483836207,89699.0,737.0,40348.0,740531.0,19724507103.161552
4,2017.0,12.3981655988,Bengkulu,Indonesia,51010824.3446,2.900625,77.6380707073,250.766056034,28.7726293103,94704.0,761.0,42760.0,785637.0,19724300302.52185
4,2018.0,13.8911502254,Bengkulu,Indonesia,51010824.3446,2.50280172414,78.3839949408,234.581034483,28.4231681034,99776.0,791.0,45482.0,831683.0,19724300302.492443
4,2019.0,16.8523859723,Bengkulu,Indonesia,51010824.3446,1.8599137931,79.1242894796,345.199353448,29.0748922414,103400.0,825.0,47066.0,867559.0,19724300302.480743
4,2020.0,12.9136093263,Bengkulu,Indonesia,52596295.9121,1.52715517241,79.8517332988,349.054525862,29.3066810345,104579.0,836.0,47481.0,884151.0,19722714830.941544
4,2021.0,13.2973971302,Bengkulu,Indonesia,55543205.02118054,1.75721982759,80.56034047149367,208.347521552,28.9024784483,107540.0,842.0,49347.0,925394.0,19719568780.46992
4,2022.0,13.2594943042,Bengkulu,Indonesia,56877069.14424554,1.54816810345,81.2777795407332,212.771443966,28.9865301724,111205.0,847.0,51324.0,968268.0,19718170578.368618
5,2012.0,13.2183489977,Gorontalo,Indonesia,24057807.6977,1.02050359712,76.5033691301,227.735791367,29.0430935252,11933.207230723645,96.5358057905635,8150.311815500377,185154.60127571068,11954593485.801868
5,2013.0,14.0570903124,Gorontalo,Indonesia,24953943.801,1.89503597122,78.2064846283,295.451798561,28.5084172662,14684.066822711622,124.60726800196889,10254.704672643235,208917.95385190437,11954524552.24967
5,2014.0,13.7667143477,Gorontalo,Indonesia,26539415.3685,3.00282374101,79.9364689522,345.097122302,27.4022841727,17434.9264146996,152.6787302133743,12359.09752978609,232681.3064280981,11956799359.280369
5,2015.0,11.7878626934,Gorontalo,Indonesia,27228750.8326,1.33992805755,81.7851658346,122.768345324,28.9606294964,23885.0,262.0,18529.0,275476.0,11956110023.816368
5,2016.0,11.1551593818,Gorontalo,Indonesia,27228750.8326,1.64307553957,83.6022688791,154.332014388,29.9,14309.0,17.0,7839.0,249910.0,11956110023.820368
5,2017.0,12.2097670633,Gorontalo,Indonesia,27228750.8326,1.38226618705,85.4339405123,251.056115108,29.4232014388,27956.0,284.0,20815.0,309667.0,11956110023.81837
5,2018.0,11.751563139,Gorontalo,Indonesia,27228750.8326,1.65899280576,87.3832911684,173.314928058,28.9508992806,30660.0,318.0,22767.0,332702.0,11956110023.82537
5,2019.0,12.0110952183,Gorontalo,Indonesia,27228750.8326,1.67841726619,89.3261314596,270.020683453,29.8802158273,33282.0,333.0,24675.0,360575.0,11956110023.82437
5,2020.0,11.1873314285,Gorontalo,Indonesia,28745288.8537,1.64946043165,91.2681064606,204.184172662,30.3039568345,33978.0,333.0,25140.0,368600.0,11954593485.790668
5,2021.0,12.4486718442,Gorontalo,Indonesia,28961663.59657222,1.4214028777,93.15833215552153,250.591007194,29.753057554,35981.0,340.0,26639.0,396839.0,11955954923.339539
5,2022.0,12.1810175745,Gorontalo,Indonesia,29410880.540688884,1.45161870504,94.9720022410501,256.404856115,29.2920863309,38460.0,345.0,28227.0,426195.0,11956011219.06906
6,2012.0,30.6160747243,Jakarta Raya,Indonesia,628673943.274,3.42866666667,12354.6198179,360.683333333,30.643,1779177.6068177212,24063.329115459856,432267.9448968958,10689042.630900394,10271098.415332
