,Unnamed: 0,GID_1,AREA,PM25 microgram per cubic metter,year,iso3,Province,Country name,LC_irrigated_cropland,LC_mosaic_cropland,LC_natural_Vegetation,LC_tree_broadleaved,VALUE_70,LC_tree_needleaved,LC_tree_shrub,LC_herbacious,LC_grassland,LC_sparce_vegetation,LC_urban_areas,LC_water_bodies,LC_cropland,LC_shrubland,LC_tree_flooded,Average_wind_speed,Pop density heads per Sqkm,Average_precipitation,Maximum_temperature
10,10,IDN.1_1,4.62699911747,17.6093559549,2017.0,IDN,Aceh,Indonesia,38671719.5369,6092691499.59,6509325854.1,35496847189.8,0.0,344667.732058,0.0,6548686.90911,275734.185647,108570335.598,229066174.726,701054167.006,4868983183.690001,0.0,3033972178.212,2.03836581709,70.2469448334,355.85862069,27.5065967016
11,11,IDN.1_1,4.62699911747,18.2554873544,2018.0,IDN,Aceh,Indonesia,41015460.1149,6129708814.02,6605488151.35,35275087971.0,0.0,344667.732058,0.0,6686554.00193,275734.185647,110845142.63,229066174.726,701054167.006,4964662946.108,0.0,3022115608.228,1.55097451274,70.8177555483,366.824925037,27.7201274363
12,12,IDN.1_1,4.62699911747,19.5263648098,2019.0,IDN,Aceh,Indonesia,41635862.0326,6149699542.47,6717505164.27,35084831382.9,0.0,344667.732058,0.0,6686554.00193,275734.185647,112361680.651,229066174.726,701054167.006,5026978872.07,0.0,3015911589.051,1.99006746627,71.4167523672,211.65505997,28.5763493253
13,13,IDN.1_1,4.62699911747,16.9891765664,2020.0,IDN,Aceh,Indonesia,41153327.2077,6170241739.31,6754384611.6,35023411593.1,0.0,344667.732058,0.0,6686554.00193,275734.185647,112706348.383,237613934.481,701054167.006,5029322612.652,0.0,3009156101.51,2.04557721139,72.0134626841,119.593815592,28.881934033
14,14,IDN.1_1,4.62699911747,16.951463152,2021.0,IDN,Aceh,Indonesia,,,,,,,,,,,,,,,,1.96383058471,,273.900224888,28.0856821589
15,15,IDN.1_1,4.62699911747,17.570410632,2022.0,IDN,Aceh,Indonesia,,,,,,,,,,,,,,,,1.94583958021,,201.76994003,28.3928035982
16,16,IDN.10_1,2.8190994623,18.7323897645,2007.0,IDN,Jawa Tengah,Indonesia,81203717.6729,5683777702.28,2367867319.24,7511343884.74,0.0,482534.824881,1792272.2067,5790417.89858,344667.732058,1108865027.58,1769041601.56,1075845858.85,14689325139.05,0.0,288762625.9186,1.16337829552,787.326287548,206.454629062,29.2343776824
17,17,IDN.10_1,2.8190994623,16.9268702774,2008.0,IDN,Jawa Tengah,Indonesia,81548385.405,5675850344.44,2371658664.29,7497488241.91,0.0,965069.649763,1792272.2067,5790417.89858,344667.732058,1105280483.16,1798200491.69,1066677697.17,14685189126.25,0.0,293656907.7136,1.48927651747,790.696567201,347.240527284,29.2211587983
18,18,IDN.10_1,2.8190994623,17.9539711228,2009.0,IDN,Jawa Tengah,Indonesia,81065850.5801,5606985731.58,2363386638.72,7567455791.52,0.0,965069.649763,1792272.2067,5997218.53781,344667.732058,1101351271.02,1830874992.69,1064678624.33,14665129464.25,0.0,294415176.724,1.79174126303,794.134374824,478.919558553,28.2725015328
19,19,IDN.10_1,2.8190994623,18.9622219781,2010.0,IDN,Jawa Tengah,Indonesia,80721182.848,5593750490.66,2362421569.07,7574969548.08,0.0,965069.649763,1792272.2067,5997218.53781,344667.732058,1099214331.08,1860447484.1,1064609690.78,14647482476.36,0.0,291726768.414,1.53701410178,797.28385479,370.472654813,28.9128694053
20,20,IDN.10_1,2.8190994623,17.2846404891,2011.0,IDN,Jawa Tengah,Indonesia,80445448.6624,5590648481.08,2364627442.56,7564836316.76,0.0,965069.649763,1861205.75311,5997218.53781,344667.732058,1096732723.41,1893742387.02,1063575687.59,14629215086.570002,0.0,291451034.228,2.25397915389,800.802046364,204.144941754,28.6203310852
21,21,IDN.10_1,2.8190994623,17.8359369984,2012.0,IDN,Jawa Tengah,Indonesia,79618246.1054,5592096085.55,2367040116.68,7547051461.78,0.0,965069.649763,1861205.75311,5997218.53781,344667.732058,1090942305.51,1940686132.13,1061300880.55,14605433013.05,0.0,291106366.496,1.96111587983,804.146147569,468.307602698,29.0819068056
22,22,IDN.10_1,2.8190994623,18.2921854447,2013.0,IDN,Jawa Tengah,Indonesia,79411445.4662,5588029006.31,2368556654.7,7532230749.31,0.0,965069.649763,1861205.75311,5997218.53781,344667.732058,1085082954.07,2035469758.44,1057923136.78,14537947071.12,0.0,290623831.671,1.9841385653,807.551376489,498.5472103,29.6468914776
23,23,IDN.10_1,2.8190994623,20.9369479564,2014.0,IDN,Jawa Tengah,Indonesia,83616391.7973,5458916473.88,2337950160.1,7671200778.87,0.0,965069.649763,1999072.84594,5997218.53781,344667.732058,1073639985.36,2192431443.62,1046962702.9,14419312437.740002,0.0,291106366.4966,2.14893930104,811.059259355,456.362047823,27.8157388105
24,24,IDN.10_1,2.8190994623,19.2190237962,2015.0,IDN,Jawa Tengah,Indonesia,83064923.426,5446715236.17,2335399618.88,7670097842.13,0.0,965069.649763,1999072.84594,5997218.53781,344667.732058,1067229165.54,2257849379.17,1045239364.24,14379537781.47,0.0,290003429.7536,1.77758430411,814.578752329,420.937952177,28.5864990803
25,25,IDN.10_1,2.8190994623,20.5410840243,2016.0,IDN,Jawa Tengah,Indonesia,82995989.8796,5384950778.58,2299967776.02,7782390589.23,0.0,965069.649763,1999072.84594,5652550.80575,344667.732058,1067229165.54,2261089255.85,1046204433.89,14360994657.48,0.0,289658762.0219,0.757633353771,818.006342912,301.500245248,28.5879828326
26,26,IDN.10_1,2.8190994623,17.5517079911,2017.0,IDN,Jawa Tengah,Indonesia,82306654.4155,5370061132.56,2290110278.89,7810929077.45,0.0,965069.649763,1999072.84594,5652550.80575,344667.732058,1066884497.81,2264604866.71,1046411234.53,14354445970.57,0.0,289727695.5683,1.72142244022,821.580641859,478.33126916,29.4893930104
27,27,IDN.10_1,2.8190994623,17.981717566,2018.0,IDN,Jawa Tengah,Indonesia,82306654.4155,5365718319.14,2283906259.71,7823681783.53,0.0,965069.649763,1999072.84594,5445750.16652,344667.732058,1066746630.72,2265707803.46,1046618035.17,14352240097.1,0.0,288762625.9183,1.50251379522,825.159771515,246.206069896,29.0111587983
28,28,IDN.10_1,2.8190994623,19.0991167281,2019.0,IDN,Jawa Tengah,Indonesia,82168787.3227,5376196218.19,2281562519.13,7807827067.86,0.0,965069.649763,1999072.84594,5445750.16652,344667.732058,1066264095.9,2270464218.16,1047307370.63,14356031442.14,0.0,287866489.81520003,1.53991416309,828.8292037,386.502820356,29.892152054
29,29,IDN.10_1,2.8190994623,18.3790465091,2020.0,IDN,Jawa Tengah,Indonesia,78584242.9093,5369854331.92,2281562519.13,7801967716.42,0.0,965069.649763,1999072.84594,5445750.16652,344667.732058,1064402890.14,2346635786.94,1047307370.63,14301160339.19,0.0,284213011.855,1.32360515021,832.46324711,422.322378909,30.2342734519
30,30,IDN.10_1,2.8190994623,19.4636018549,2021.0,IDN,Jawa Tengah,Indonesia,,,,,,,,,,,,,,,,1.51876149601,,504.292826487,29.208583691
31,31,IDN.10_1,2.8190994623,20.4139547985,2022.0,IDN,Jawa Tengah,Indonesia,,,,,,,,,,,,,,,,1.5780502759,,291.24543225,29.5020846107
32,32,IDN.11_1,3.9347992495,18.3727305007,2007.0,IDN,Jawa Timur,Indonesia,158478223.2,7666926898.99,2694681262.78,10927552577.8,0.0,5376816.62011,1999072.84594,8134158.47657,14131377.0144,2081655234.54,962174440.814,1187311403.39,21931690325.65,3515610.86699,552640241.5818,1.19992474546,642.61134909,211.08667552,29.3445285525
33,33,IDN.11_1,3.9347992495,15.8168979344,2008.0,IDN,Jawa Timur,Indonesia,171575597.019,7626049305.97,2696128867.25,10955539597.7,0.0,5376816.62011,3860278.59905,8616693.30145,14131377.0144,2081655234.54,999467489.422,1156911709.43,21918248284.11,1585471.56747,557120922.0988001,1.71067729084,647.604227596,286.043116423,29.3248251439
34,34,IDN.11_1,3.9347992495,17.8555580951,2009.0,IDN,Jawa Timur,Indonesia,170610527.369,7582621171.73,2701298883.23,10992281177.9,0.0,5376816.62011,3860278.59905,8616693.30145,14131377.0144,2080138696.52,1039586813.43,1154567968.85,21886194185.1,344667.732058,556638387.2738,2.11140327579,652.557235976,400.409915892,28.4397122621
35,35,IDN.11_1,3.9347992495,17.7259657365,2010.0,IDN,Jawa Timur,Indonesia,168749321.616,7579243427.96,2703297956.08,10986215025.8,0.0,5170015.98087,3860278.59905,8616693.30145,14131377.0144,2077657088.85,1075570124.66,1153602899.2,21863515048.26,344667.732058,556293719.5416,1.69255865427,657.48997307,358.19459938,29.0486100044
36,36,IDN.11_1,3.9347992495,16.950114365,2011.0,IDN,Jawa Timur,Indonesia,168335720.337,7567869392.8,2701023149.05,10993659848.8,0.0,5032148.88805,3929212.14546,8616693.30145,14889646.0249,2075864816.64,1114517578.38,1151603826.35,21834700825.85,344667.732058,555880118.2636,2.44837538734,662.487609186,239.851482957,28.7393669765
37,37,IDN.11_1,3.9347992495,16.51817627,2012.0,IDN,Jawa Timur,Indonesia,168266786.791,7568145126.99,2702126085.79,10982975149.1,0.0,5101082.43446,3860278.59905,8685626.84787,14889646.0249,2073107474.78,1160082652.56,1142504598.23,21805266201.51,344667.732058,560912267.1518,2.11514386897,667.146415597,425.451660027,29.1737051793
38,38,IDN.11_1,3.9347992495,17.3720417772,2013.0,IDN,Jawa Timur,Indonesia,166198780.398,7558701231.13,2702057152.24,10980079940.2,0.0,4411746.97034,3860278.59905,7996291.38375,14889646.0249,2067799591.71,1258657623.93,1138575386.08,21731438373.36,344667.732058,561256934.8838,2.35935812306,672.118469766,618.896148738,29.8044001771
39,39,IDN.11_1,3.9347992495,19.7958574728,2014.0,IDN,Jawa Timur,Indonesia,166819182.316,7469294421.43,2687925775.23,11077689841.9,0.0,4480680.51676,4825348.24881,5170015.98087,14751778.9321,2060285835.15,1397558719.95,1109967964.32,21625763246.72,137867.092823,571596966.8451,2.44515272244,677.302641835,269.751748561,27.9961708721
40,40,IDN.11_1,3.9347992495,18.0358340901,2015.0,IDN,Jawa Timur,Indonesia,166198780.398,7457437851.45,2686822838.49,11077345174.2,0.0,4273879.87752,4825348.24881,5170015.98087,14751778.9321,2055253686.26,1476142962.86,1109002894.67,21567859067.7,137867.092823,571045498.4741,1.86257193448,682.595259,330.211376715,28.7032005312
41,41,IDN.11_1,3.9347992495,18.2582469248,2016.0,IDN,Jawa Timur,Indonesia,166336647.491,7373338924.83,2641671365.59,11248507169.9,0.0,4273879.87752,5721484.35217,5170015.98087,14820712.4785,2052289543.77,1481312978.84,1109347562.4,21523327996.78,137867.092823,570011495.2781,0.976432049579,687.732579098,223.061443116,28.7246569278
42,42,IDN.11_1,3.9347992495,15.5447595856,2017.0,IDN,Jawa Timur,Indonesia,165991979.759,7364239696.7,2638086821.17,11258157866.4,0.0,3446677.32058,5721484.35217,5170015.98087,14751778.9321,2051669141.85,1489447137.32,1109347562.4,21520708521.94,137867.092823,569391093.3603001,1.76847277556,693.053206553,329.748915449,29.4970340859
43,43,IDN.11_1,3.9347992495,16.7481981314,2018.0,IDN,Jawa Timur,Indonesia,166060913.306,7367893174.66,2635949881.23,11253263584.6,0.0,3377743.77417,6066152.08422,5170015.98087,14751778.9321,2051255540.57,1492204479.17,1109347562.4,21522776528.34,137867.092823,568012422.4323,1.86250553342,698.521453876,302.293846835,29.064231961
44,44,IDN.11_1,3.9347992495,18.2367795054,2019.0,IDN,Jawa Timur,Indonesia,166474514.584,7372856390.0,2639120824.37,11224173628.0,0.0,2964142.4957,6272952.72346,5101082.43446,14820712.4785,2052013809.58,1504474650.43,1109554363.04,21533668028.66,137867.092823,564634678.6573,1.90708277999,704.016954643,404.019920319,29.8038069942
45,45,IDN.11_1,3.9347992495,15.4960252097,2020.0,IDN,Jawa Timur,Indonesia,165164777.202,7370995184.25,2640361628.2,11209835450.4,0.0,2826275.40288,6272952.72346,5101082.43446,14820712.4785,2047808863.25,1559621487.56,1109554363.04,21501682863.18,137867.092823,562084137.4403,1.54236387782,709.500396396,273.200265604,30.3429836211
46,46,IDN.11_1,3.9347992495,17.1842736555,2021.0,IDN,Jawa Timur,Indonesia,,,,,,,,,,,,,,,,1.69048251439,,411.092120407,29.1068171757
47,47,IDN.11_1,3.9347992495,17.2057232893,2022.0,IDN,Jawa Timur,Indonesia,,,,,,,,,,,,,,,,1.76697653829,,272.071314741,29.3966799469
48,48,IDN.12_1,11.9322977241,13.9644997219,2007.0,IDN,Kalimantan Barat,Indonesia,3377743.77417,20909336898.9,34652480179.8,69923225337.5,0.0,0.0,12614838.9933,5997218.53781,1723338.66029,785911362.639,226998168.334,1279820222.68,6415920898.71,366657533.3638231,12948201623.74,1.26905523256,24.0961536936,406.286875,29.8542034884
49,49,IDN.12_1,11.9322977241,13.438298571,2008.0,IDN,Kalimantan Barat,Indonesia,3446677.32058,21076293948.3,34934280517.6,69240714294.4,0.0,0.0,12821639.6326,6272952.72346,1723338.66029,814105183.121,230306978.561,1279889156.22,6631269297.700001,368794473.301823,12932346908.11,1.13658866279,24.4835424707,252.721642442,30.4453619186
50,50,IDN.12_1,11.9322977241,30.2308456667,2009.0,IDN,Kalimantan Barat,Indonesia,3515610.86699,21095526407.7,35020654251.2,68895357226.9,0.0,0.0,14613911.8393,6341886.26987,1792272.2067,880488188.316,233891522.975,1216263492.89,6850546908.84,412084740.44882303,12901188945.11,1.52094186047,24.9048777239,522.451918605,28.7387267442
51,51,IDN.12_1,11.9322977241,12.0865139188,2010.0,IDN,Kalimantan Barat,Indonesia,3515610.86699,21421168481.0,35449420909.9,67863628837.8,0.0,0.0,14613911.8393,6755487.54834,1792272.2067,919573509.131,237269266.749,1216263492.89,7231956221.14,418495560.264823,12747811804.33,1.09578197674,25.3382974484,313.279287791,30.1999055233
52,52,IDN.12_1,11.9322977241,15.2151915395,2011.0,IDN,Kalimantan Barat,Indonesia,3998145.69187,21677739140.7,35697030208.6,67257771898.4,0.0,0.0,13097373.8182,8134158.47657,1930139.29953,962588042.092,240784877.616,1206681729.94,7546155325.68,436831883.61082304,12479522441.7,1.2767877907,25.7849132124,419.61815407,29.7534723837
53,53,IDN.12_1,11.9322977241,16.9420631331,2012.0,IDN,Kalimantan Barat,Indonesia,4411746.97034,21911906397.9,35938021886.9,66762691168.0,0.0,0.0,15716848.5819,10408965.5082,1930139.29953,997330549.484,245265558.133,1204820524.18,7763916398.79,438555222.270823,12237289959.65,1.28071511628,26.234298034,306.597194767,30.6630276163
54,54,IDN.12_1,11.9322977241,13.488083604,2013.0,IDN,Kalimantan Barat,Indonesia,4411746.97034,22046464680.5,36113940297.3,66339990661.4,0.0,0.0,15234313.757,10615766.1474,1930139.29953,1029315715.02,255398789.455,1205440926.1,7980367734.53,438210554.538823,12090944040.64,1.44705087209,26.7018109045,178.741918605,30.910377907
55,55,IDN.12_1,11.9322977241,26.4906313017,2014.0,IDN,Kalimantan Barat,Indonesia,5101082.43446,22165650782.2,36681332317.8,65470807574.7,0.0,0.0,17026585.9637,14682845.3857,1930139.29953,1093837514.46,265876688.51,1204337989.36,8217568067.73,445862178.190823,11948251599.52,1.7825247093,27.1827324451,306.981860465,29.1913328488
56,56,IDN.12_1,11.9322977241,38.0845461324,2015.0,IDN,Kalimantan Barat,Indonesia,5101082.43446,22165306114.5,36681125517.2,65470807574.7,0.0,0.0,17026585.9637,14682845.3857,1930139.29953,1093837514.46,272701109.604,1203786520.99,8211846583.38,445862178.190823,11948251599.52,1.5504752907,27.682666847,454.057340116,29.4928502907
57,57,IDN.12_1,11.9322977241,12.9287329359,2016.0,IDN,Kalimantan Barat,Indonesia,5101082.43446,22245889430.2,37145461885.8,64767685401.3,0.0,0.0,19163525.9024,28469554.668,1792272.2067,1354819921.17,277871125.585,1204406922.9,8395416617.470001,450136058.0678231,11636051567.83,0.738460755814,28.1908276653,340.756540698,31.0478924419
58,58,IDN.12_1,11.9322977241,13.0499333787,2017.0,IDN,Kalimantan Barat,Indonesia,5101082.43446,22277392060.9,37259546905.1,64603761428.0,0.0,0.0,19370326.5417,28952089.4929,1792272.2067,1390734298.85,280145932.617,1204544790.0,8448564381.76,450411792.25382304,11561948005.43,0.961760174419,28.713650312,353.045159884,31.3277034884
59,59,IDN.12_1,11.9322977241,15.3918423164,2018.0,IDN,Kalimantan Barat,Indonesia,5238949.52728,22306550951.1,37423057277.2,64369938838.5,0.0,0.0,19370326.5417,32536633.9063,1723338.66029,1409139555.75,280421666.803,1204269055.81,8527906893.67,451170061.26382303,11500941816.86,0.992165697674,29.2539545963,375.49869186,30.1239680233
60,60,IDN.12_1,11.9322977241,28.8469079608,2019.0,IDN,Kalimantan Barat,Indonesia,4825348.24881,22311652033.5,37566576920.9,64178441446.6,0.0,0.0,21162598.7484,35914377.6805,1723338.66029,1452636623.53,282903274.473,1204269055.81,8593807364.050001,453927403.120823,11424425580.34,1.09263081395,29.8101765324,279.095625,31.0404360465
61,61,IDN.12_1,11.9322977241,11.2764923787,2020.0,IDN,Kalimantan Barat,Indonesia,4480680.51676,22377966105.2,37621516957.3,64028648850.3,0.0,0.0,21162598.7484,37499849.2479,1585471.56747,1464355326.42,290210230.393,1204269055.81,8657088359.65,454547805.037823,11368934075.48,0.983488372093,30.3782245256,336.073037791,30.7928488372
62,62,IDN.12_1,11.9322977241,11.599787972,2021.0,IDN,Kalimantan Barat,Indonesia,,,,,,,,,,,,,,,,1.22472383721,,311.082732558,30.1929215116
63,63,IDN.12_1,11.9322977241,13.5155066532,2022.0,IDN,Kalimantan Barat,Indonesia,,,,,,,,,,,,,,,,1.14735465116,,266.283386628,30.527122093
64,64,IDN.13_1,3.0371994207,16.8851079981,2007.0,IDN,Kalimantan Selatan,Indonesia,30951162.3388,8903456854.53,6487887521.17,14548218169.5,0.0,0.0,275734.185647,0.0,0.0,737933614.337,112913149.022,459166352.648,5175530664.578,3791345.05264,1080257605.816,1.5096792669,77.3948372207,293.131042383,30.1349656357
65,65,IDN.13_1,3.0371994207,14.235572233,2008.0,IDN,Kalimantan Selatan,Indonesia,32536633.9063,8910074474.98,6518769749.96,14486798379.7,0.0,0.0,275734.185647,0.0,0.0,751651390.072,116359826.343,458890618.462,5184354158.52,3791345.05264,1076879862.042,1.23677548683,78.9805909216,169.902920962,30.5742439863
66,66,IDN.13_1,3.0371994207,33.2382227041,2009.0,IDN,Kalimantan Selatan,Indonesia,32536633.9063,8807432424.38,6503742236.84,14526366235.3,0.0,0.0,275734.185647,68933.5464116,0.0,808039031.037,120771573.313,461716893.865,5201449678.034,3929212.14546,1074053586.639,1.54833333333,80.5966841899,252.055097365,29.1176975945
67,67,IDN.13_1,3.0371994207,12.1478434122,2010.0,IDN,Kalimantan Selatan,Indonesia,33088102.2776,8814670446.75,6528558313.55,14463292040.4,0.0,0.0,275734.185647,68933.5464116,0.0,826582155.022,124976519.644,465577172.464,5211445042.264,3929212.14546,1067918501.009,1.22016036655,82.3010670577,297.580297824,30.3117754868
68,68,IDN.13_1,3.0371994207,18.844350056,2011.0,IDN,Kalimantan Selatan,Indonesia,34466773.2058,8855892707.5,6560543479.09,14192452136.5,0.0,0.0,275734.185647,2274807.03158,0.0,960037500.875,127044526.037,469713185.249,5290856487.728,3929212.14546,1042895623.662,1.15537800687,84.0232718699,200.013230241,30.0328178694
69,69,IDN.13_1,3.0371994207,19.6938331336,2012.0,IDN,Kalimantan Selatan,Indonesia,34397839.6594,8862303527.32,6569091238.84,14135306226.5,0.0,0.0,275734.185647,2274807.03158,0.0,973962077.25,133593212.946,468748115.599,5318085238.565001,3929212.14546,1038414943.145,1.04183848797,85.8159924843,198.867239404,30.7665406644
70,70,IDN.13_1,3.0371994207,15.2368431534,2013.0,IDN,Kalimantan Selatan,Indonesia,34811440.9379,8854031501.75,6567850435.01,14117245637.4,0.0,0.0,275734.185647,2274807.03158,0.0,979338893.87,155789814.89,468472381.413,5336007960.625,3929212.14546,1020354353.985,1.50069873998,87.706167716,248.684306987,31.0710252005
71,71,IDN.13_1,3.0371994207,28.457668232,2014.0,IDN,Kalimantan Selatan,Indonesia,35018241.5771,8806949889.55,6560474545.54,14026184422.6,0.0,0.0,275734.185647,7582690.10528,0.0,1046962702.9,171920264.751,463922767.35,5398806421.41,5101082.43446,1017183410.85,1.56536082474,89.6534313831,225.630183276,29.4187342497
72,72,IDN.13_1,3.0371994207,32.2086658612,2015.0,IDN,Kalimantan Selatan,Indonesia,34949308.0307,8806329487.63,6560474545.54,14026046555.5,0.0,0.0,275734.185647,7582690.10528,0.0,1046962702.9,175435875.618,463922767.35,5396186946.650001,5101082.43446,1017114477.304,1.54597365407,91.6458656579,484.259851088,29.6479667812
73,73,IDN.13_1,3.0371994207,12.9976129321,2016.0,IDN,Kalimantan Selatan,Indonesia,34259972.5666,8849550821.23,6673111960.38,13860399243.4,0.0,0.0,275734.185647,7582690.10528,0.0,1057716336.14,197977145.294,463991700.897,5402666700.011,5307883.0737,987541985.893,0.834765177549,93.6817830117,202.856815578,30.8300687285
74,74,IDN.13_1,3.0371994207,13.6401587017,2017.0,IDN,Kalimantan Selatan,Indonesia,34259972.5666,8864233666.62,6712955550.2,13785675279.1,0.0,0.0,275734.185647,7720557.1981,0.0,1062679551.48,209695848.184,464543169.268,5405837643.139999,5307883.0737,987197318.161,1.07609392898,95.7836276612,292.827835052,30.6784077892
75,75,IDN.13_1,3.0371994207,18.1629560125,2018.0,IDN,Kalimantan Selatan,Indonesia,34122105.4738,8823080339.41,6676351837.06,13825312068.3,0.0,0.0,275734.185647,7927357.83734,0.0,1071434111.88,226102032.23,465163571.186,5417142744.752,5376816.62011,988093454.264,1.33676975945,97.9844263716,295.064662085,31.2775486827
76,76,IDN.13_1,3.0371994207,22.8653134362,2019.0,IDN,Kalimantan Selatan,Indonesia,35156108.6699,8813360709.37,6670354618.52,13805941741.8,0.0,0.0,275734.185647,10891500.333,0.0,1082118811.57,236304197.099,464060634.443,5428999314.740001,6272952.72346,986645849.79,1.02783505155,100.241854313,312.298568156,31.254467354
77,77,IDN.13_1,3.0371994207,11.3620571609,2020.0,IDN,Kalimantan Selatan,Indonesia,35362909.3092,8840037991.83,6673180893.92,13758722262.5,0.0,0.0,275734.185647,13235240.911,0.0,1085427621.8,249953039.289,463853833.804,5432514925.607,6617620.45552,981200099.623,1.14902634593,102.570080535,370.750744559,31.3761168385
78,78,IDN.13_1,3.0371994207,13.0628308978,2021.0,IDN,Kalimantan Selatan,Indonesia,,,,,,,,,,,,,,,,1.37898052692,,372.482302405,30.3238831615
79,79,IDN.13_1,3.0371994207,12.8448900318,2022.0,IDN,Kalimantan Selatan,Indonesia,,,,,,,,,,,,,,,,1.1656930126,,244.535910653,30.7080756014
80,80,IDN.14_1,12.4926976172,14.2230374587,2007.0,IDN,Kalimantan Tengah,Indonesia,5790417.89858,20468024334.7,18962722481.7,87753300718.1,0.0,0.0,1378670.92823,18129522.7063,1723338.66029,1309254847.0,77274505.5274,978167023.581,5652275071.568,271322438.676,18901026957.654,1.20803337969,11.5979723463,304.409582754,30.1071418637
81,81,IDN.14_1,12.4926976172,12.9432932798,2008.0,IDN,Kalimantan Tengah,Indonesia,6479753.36269,20701433322.9,19257344459.1,86993377302.5,0.0,0.0,1378670.92823,18267389.7991,1723338.66029,1347995500.08,78239575.1772,974651412.714,5880445110.193999,272976843.79,18866077649.636,1.12276634214,11.8501104179,190.973463143,30.6157107093
82,82,IDN.14_1,12.4926976172,39.4660177438,2009.0,IDN,Kalimantan Tengah,Indonesia,6755487.54834,20543437634.5,19222395151.1,87065412858.5,0.0,0.0,1378670.92823,18474190.4383,1723338.66029,1369847434.29,78722110.0021,970584333.476,6007627503.316999,272632176.058,18841399440.078,1.3242364395,12.1107581528,313.950417246,28.9975132128
