Province,Cars,Buses,Trucks,Motorcycles,Total,year
DKI Jakarta,3082616,33419,631156,15037359,18784550,2018
Jawa Barat,3534784,19443,360243,10899031,14813501,2018
Jawa Tengah,1290630,32435,545491,15069428,16937984,2018
DI Yogyakarta,344084,3386,56549,2321234,2725253,2018
Jawa Timur,1759758,33255,696708,18016051,20505772,2018
Banten,209212,3254,70098,1991810,2274374,2018
Bali,435965,9163,145927,3540179,4131234,2018
Nusa Tenggara Barat,92383,2532,67876,1507783,1670574,2018
Nusa Tenggara Timur,55653,3608,43383,729159,831803,2018
Kalimantan Barat,129570,1506,88790,2172674,2392540,2018
Kalimantan Tengah,81390,1362,60218,1115875,1258845,2018
Kalimantan Selatan,204026,2727,127035,2096012,2429800,2018
Kalimantan Timur,246027,5666,170876,2432491,2855060,2018
Kalimantan Utara,18195,241,13722,282621,314779,2018
Sulawesi Utara,107540,1306,60195,683148,852189,2018
Sulawesi Tengah,79646,896,45369,974838,1100749,2018
Sulawesi Selatan,468127,3481,171787,3228969,3872364,2018
Sulawesi Tenggara,172099,425,31501,619640,823665,2018
Gorontalo,30660,318,22767,332702,386447,2018
Sulawesi Barat,17184,25,10070,284946,312225,2018
Maluku,22029,426,12185,239995,274635,2018
Maluku Utara,17415,105,10456,218231,246207,2018
Papua Barat,33043,313,15507,262442,311305,2018
Papua,30826,819,23099,365217,419961,2018
Indonesia,14838106,223011,4804178,106836985,126702280,2018
Aceh,158406,1034,65359,1933053,2157852,2019
Sumatera Utara,647775,5686,259046,5724881,6637388,2019
Sumatera Barat,261992,4016,128992,1979526,2374526,2019
Riau,327669,5096,188744,3185951,3707460,2019
Jambi,159007,34998,129763,1949188,2272956,2019
Sumatera Selatan,360474,6348,310153,2954630,3631605,2019
Bengkulu,103400,825,47066,867559,1018850,2019
Lampung,271216,2974,171030,3187035,3632255,2019
Kepulauan Bangka Belitung,77559,1169,43946,917129,1039803,2019
Kepulauan Riau,138167,2109,26063,826662,993001,2019
DKI Jakarta,3310426,34905,669724,15868191,19883246,2019
Jawa Barat,3628502,20712,384828,11737547,15771589,2019
Jawa Tengah,1348353,33535,564902,15846499,17793289,2019
DI Yogyakarta,356506,3678,59361,2441874,2861419,2019
Jawa Timur,1858782,34958,724185,18977474,21595399,2019
Banten,227547,3466,75374,2161809,2468196,2019
Bali,455993,9345,150787,3742000,4358125,2019
Nusa Tenggara Barat,96118,2591,71319,1615817,1785845,2019
Nusa Tenggara Timur,57654,3658,46217,780734,888263,2019
Kalimantan Barat,138484,1550,93779,2294387,2528200,2019
Kalimantan Tengah,87814,1449,64734,1195196,1349193,2019
Kalimantan Selatan,215641,2924,132502,2228765,2579832,2019
Kalimantan Timur,261006,5975,179608,2563074,3009663,2019
Kalimantan Utara,11959,107,7676,123120,142862,2019
Sulawesi Utara,117122,1329,63537,730409,912397,2019
Sulawesi Tengah,82901,912,46745,1011019,1141577,2019
Sulawesi Selatan,494698,3650,182157,3438236,4118741,2019
Sulawesi Tenggara,178253,470,34952,678658,892333,2019
Gorontalo,33282,333,24675,360575,418865,2019
Sulawesi Barat,18726,36,11121,304369,334252,2019
Maluku,23383,451,12845,260557,297236,2019
Maluku Utara,18449,120,11153,237618,267340,2019
Papua Barat,34329,341,16446,282377,333493,2019
Papua,30826,819,23099,365217,419961,2019
Indonesia,15592419,231569,5021888,112771136,133617012,2019
Aceh,160334,1048,65785,1978138,2205305,2020
Sumatera Utara,658330,5744,261748,5821157,6746979,2020
Sumatera Barat,265241,4034,130326,2022227,2421828,2020
Riau,334144,5136,191490,3253261,3784031,2020
Jambi,162107,35001,130604,1991271,2318983,2020
Sumatera Selatan,366969,6366,312038,3006479,3691852,2020
Bengkulu,104579,836,47481,884151,1037047,2020
Lampung,274765,2984,172688,3229304,3679741,2020
Kepulauan Bangka Belitung,78504,1173,44189,924322,1048188,2020
Kepulauan Riau,141044,2117,26368,847289,1016818,2020
DKI Jakarta,3365467,35266,679708,16141380,20221821,2020
Jawa Barat,3652233,20839,391265,12043160,16107497,2020
Jawa Tengah,1363756,33787,570347,16131478,18099368,2020
DI Yogyakarta,359776,3759,60129,2487138,2910802,2020
Jawa Timur,1883822,35295,732670,19349741,22001528,2020
Banten,232939,3519,76905,2234539,2547902,2020
Bali,459369,9390,151884,3798850,4419493,2020
Nusa Tenggara Barat,97186,2591,72402,1659389,1831568,2020
